0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
420.4425,1097.544,-333.5964286,-995.19375,711.6942858,-539.5016666,-118.4485,851.6127778,-1407.54775,470.4283333,-1159.955625,485.0376666,-852.7642857,-1260.160278,-423.3209523,-173.9694048,-336.4671429,1320.637667,,-1175.48,-449.2058333,-863.6032143,46.44833338,,-146.0671666,-790.6950893,530.463,1144.729048,-386.8382143,349.1720238,-318.2639286,53.70142856,-2041.532273,-594.8303847,677.9526984,-96.09000008,,380.5594445,-1328.318542,,-230.9421667,514.6423611,,-570.9873077,-321.6067143,276.8355,36.973125,-749.60475,,-629.420119,-1180.479444,-868.2266666,-775.5923214,-801.89,-2288.437333,-1614.7985,-669.1725,-122.01625,-124.005,-231.4090625,60.17303571,460.8169643,135.1215,-372.2425,-530.2918571,
520.6542857,-857.2210227,-360.955,,453.1083333,673.9051111,,-60.12111111,1124.721167,-900.9477143,-898.5883333,-85.30692306,,,832.9802083,426.1154762,,-79.55873016,-83.41347222,,141.704,-313.8757143,-1198.204833,440.168375,-591.0077778,-225.151875,-436.849,-830.9016667,245.3070833,181.1360714,313.7754545,,-1074.936,23.27354166,1620.97,618.1426191,-288.8751299,277.4695833,-701.83875,184.8903333,436.8755,-118.374,-165.998125,-644.663125,-1178.572,616.9655,,169.6294805,,64.93666667,101.19375,980.6095238,116.5308333,-2400.357879,-2034.928182,,-940.15475,49.43045457,-2133.145714,,119.0355556,-363.8045,-521.2119643,329.3998333,-596.6152307,-55.48749993
411.353625,388.736875,,-443.2905556,-336.2723613,692.8466667,453.574375,198.0155556,427.0827381,1469.011667,704.40075,,-473.0216667,-297.565625,,-581.7,-1385.296042,773.785,579.89875,-364.5091667,-38.19383333,-830.3923334,-814.12625,-299.7641667,-244.5760417,177.7353571,,466.8057143,313.0955,1531.162857,-2260.736667,-1898.151455,-441.0527679,-936.6880556,-2289.935,-100.41125,-8.954249995,-810.1548214,435.4702857,-917.3783929,-55.58171429,-856.9344445,-396.4258929,-1312.806167,-72.85833333,-490.8397222,1737.604,-235.6171667,8.642499785,-1006.962857,-466.2046667,-125.6235714,-1083.823125,-1129.050786,183.3199206,-333.921875,-570.010625,-982.9630357,331.8285417,-1941.9225,196.3577778,,-138.2771111,-13.52707149,1031.829,
-1010.782262,235.5255357,94.80589286,444.6605357,638.47,752.5964286,,121.18,-439.1345454,509.0443333,326.8616667,-13.83678573,124.822,7.567333331,,-1303.2695,-432.8633929,-65.66386363,75.39568182,-376.893,879.2541666,546.85875,-565.7518182,-258.8933333,494.1061806,1695.074833,-1920.1575,530.229375,-1033.229583,-134.5307937,142.3166667,-276.0488889,27.72619048,1789.664,430.4465079,-1396.185952,1137.83925,69.57937501,-147.5043939,190.3388889,780.0855,-664.509125,-1519.532024,39.40975,-325.65375,227.8809091,-660.23375,-168.1465,-1117.9875,,952.3256349,-836.9655357,-414.7934821,329.8334722,21.55899998,-882.228,569.3505,-1517.161607,-784.4983333,1262.868333,-4260.116818,-1808.834028,-963.5133333,-862.525,749.5258333,
218.2018254,,1686.339455,-72.08104171,-772.19225,630.8571154,-661.44175,260.0652084,,-975.3042499,163.6442727,-72.19479166,-1347.223,560.5497917,,-337.2934524,,,738.7570833,,-1083.520833,507.0138333,1492.995,307.96,-144.12175,238.795625,-40.34166667,-651.7184286,156.4860715,,-398.0173214,-196.8511111,-309.2097619,,-2369.752182,-299.4223377,,-429.6174444,-59.53262502,,892.6883333,514.0520834,50.09063492,,-712.8558889,,816.3808929,,592.8791667,-1587.84881,-300.7497917,-85.69333332,,-1471.46975,,,,,,,-2414.033611,-110.16,-1142.081571,-151.7627778,1538.914722,
954.9911667,,463.42125,471.9185,,-958.107381,,-358.38,-1053.002738,-145.9843749,218.8345833,1103.717,1368.549107,,,,-220.575625,,-2084.004444,298.6444444,357.5745238,-671.455,475.34,-1269.25125,,-2519.787111,207.6036428,-2217.57606,792.0856944,-673.0852382,213.1206667,-59.10297619,911.6946667,-683.7164706,219.3165909,-6.928727273,,1255.595,,1380.51375,654.1435,-202.3760001,510.9660714,444.1847619,,-648.9420455,165.3684286,-576.8166668,-284.8539394,-1971.84,-1696.561389,2.637499999,247.7045833,,1068.521111,-144.4704808,,-597.5481819,,,-484.1785417,,-712.5023611,97.70166664,1061.91375,-244.119375
,-804.9429167,,,,309.2743056,-496.1375,781.3710715,,,-1184.80625,-1214.405,-706.0662121,43.37999999,,-1027.210536,,-247.5860714,-723.9411905,,,-718.983,,-852.4194318,-1147.794444,-8.339285714,-647.2029167,-903.8626667,1899.273,,88.37202385,222.0132143,-229.7981667,,,,767.6027083,,,-666.619,-1000.642857,,2058.371429,,528.2061111,-169.1627778,-1862.993571,,1030.885,,,1107.192083,,,-472.3788889,,,,-371.4325,,,,,999.7193333,822.0245714,
,,,684.8371213,,,,-127.4420001,11.85277778,,,,-1689.285556,-85.63333333,591.927,,61.87499996,-213.5578751,-646.3909722,-895.17,,,-1298.974583,,,,,-2179.619545,95.47215278,,790.5383636,-1326.811429,,1353.33375,2068.962333,-2563.009167,-992.5604286,-440.9758333,534.848125,,,,,84.28799999,,,2668.886429,280.727,-131.0958333,-877.027375,34.75708331,-1768.443875,382.900625,912.824365,-841.7225397,,-1277.065286,,-2125.103056,-574.7531746,,483.0585,779.516875,-4138.695208,,
-454.9904166,-1272.885625,,-467.436,,-750.498125,-314.78,,,,,,-1389.580893,,-1104.48375,,-290.2771429,-557.2248571,222.4897778,529.785625,-949.3787301,-171.93975,,-610.8944643,-196.1509821,,-1135.2,,,,,-1500.334018,-379.054,,-580.973,231.8787501,716.3235714,360.6984546,988.615,-1442.94,1125.629762,-809.5572727,-13.06657143,-703.6269643,-778.790625,-385.74375,-765.8376136,-1560.947083,-809.2683636,,-1257.998,703.4558333,-478.5165714,563.356875,-298.5713749,-535.3945833,-929.7591667,-2175.570625,-2660.696,-558.7225,270.66125,-78.96392859,-354.722375,,-355.1071429,-187.16375
233.9877778,695.7833333,-345.2869048,,135.4616667,-448.4198333,,221.5383333,726.05,1419.858542,,,1844.975152,,,1381.374881,,,,360.4732143,1868.966,,795.9025,,2422.821667,-75.09650001,,,411.632,,-251.3041269,221.4912857,65.61962502,,-188.8326191,-1120.924167,,,,-1017.559333,,,-539.228125,-504.8575,964.1921428,,,-1262.830417,,,,,,,195.7446428,-797.34,,,-463.6591667,,-1119.503214,,2194.39,,123.5161365,100.5446668
730.32,1792.425952,151.8147272,-1131.339722,294.96575,827.2765,128.7846666,-1725.210714,,-1145.72125,427.3243333,,-331.4775,-419.177125,354.8900893,,808.8404286,289.4632693,985.1464773,1136.472111,-54.43611109,280.7634849,503.83875,246.001,-499.3872857,38.59318181,637.5703571,1308.555417,-132.2924444,-741.3788889,152.6938889,623.856875,828.835375,-746.3245833,-1098.08,-1179.979583,-285.1216666,-1502.727292,-475.5627272,-305.8586667,94.29714286,,-750.455,1020.425,138.1675,137.506875,436.6742857,953.6971428,178.4275,2140.785833,-0.341785722,-285.5557143,-661.46375,-330.6342857,-978.600625,-276.997,284.9823333,-480.7225,275.1180556,-638.5254167,-461.8045238,,615.8325,1134.554286,-1878.32,-1333.572429
1263.643571,,,641.1091071,,-2021.564444,-650.1728571,170.0961905,-1166.088,763.5008333,-166.14625,,,-1017.714286,1052.925833,1432.100278,,-49.43033333,-644.2086667,,,363.5333333,-97.62214283,202.765,521.468,,985.6229167,607.9245,144.791875,,,,,-680.6652083,-272.9071428,-217.2926667,,-264.050375,158.375,,353.4893334,-2316.76141,,807.205,68.42763887,-470.952619,-755.9305357,,158.2135,,-1270.17,-1064.118,216.17125,-242.8278333,,,1078.385833,-369.2130952,-895.4782857,147.5803571,1032.731429,2411.125385,-357.4625714,-1861.729167,-4634.59875,
120.0826667,-152.481,1546.868036,,-6.150892857,63.15916668,,-1070.686442,1584.33675,-833.6027778,348.5782142,-969.6625694,96.5829464,2186.315,-592.13,,-1910.916071,223.0970834,247.110875,90.43377771,-2095.714833,-103.1183333,729.8861765,-112.7953571,-1029.035,236.2307576,,87.03085714,,,413.09075,299.9885227,-91.09566665,,-778.4704167,-591.3805,-604.0202857,-1186.421429,,,-1568.776857,57.67483333,-617.8633333,-91.06541667,,,,3180,373.7479167,657.46025,2099.123125,-3023.865,-785.0785714,,-162.501125,,-1155.306667,-126.975,769.96625,,-1688.323333,38.97166667,-753.5078572,-1477.972083,-1883.231111,-1761.7385
