0.692,-0.166,0.334,0.334,0.222,0.428,0.454,0.272,0.412,0.142,1,0.334,0.624,0.25,0.09,0.334,0.764,0.428,0.6,0.692,0.158,0.124,-0.142,0,0.272,0.142,0.066,-0.666,-0.112,0.454,0.5,0.4,0.384,0.2,-0.176,0.556,0.412,0.2,0.334,0.076,-0.2,0.4,0.142,-0.294,0.556,-0.076,0.334,0.334,0.2,0.2,0.466,0.058,0.066,-0.412,0,0.23,-0.2,0.572,0.286,-0.142,0.572,0,0.166,0.25,-0.142,-0.454
0.176,0.166,0.5,0.124,0.176,0.2,0.272,-0.142,-0.066,0.4,0.866,0.624,0.666,0.2,0.692,0.454,0,0.876,0,0.142,0.714,0.5,0.454,0.4,-0.058,-0.176,0.272,0.556,0.384,0.6,-0.572,0.4,0.142,-0.142,0.858,0.6,0,0.066,0.2,0.334,0.428,0,0.6,0.428,0.648,0.124,0.466,0.2,0.076,0,0.166,0.412,0.412,0.166,0.384,0,-0.166,-0.25,0.454,0,0.2,-0.142,-0.066,0.066,0,0.454
0.25,0.474,0.334,-0.166,-0.09,0.124,0.444,0.466,0.076,0.1,0.2,0.294,0.066,0.09,0.778,0.23,0.23,0.834,0.142,0,0.286,-0.4,0.112,0.384,0.334,-0.066,0.25,0.176,0.5,-0.142,0.5,0,-0.052,0.572,0.058,-0.384,0.75,0.066,-0.272,0.286,0.412,0.5,-1,-0.09,-0.25,0.334,0.466,-0.176,-0.066,0.4,-0.2,0.5,0.222,0.75,0.6,-0.112,0.166,0.334,0.2,0,0.25,0.23,0.112,0.286,0.454,-0.25
0.058,0.09,0.466,0.2,-0.112,0.6,-0.076,0.714,0.666,0,0.384,-0.334,0.23,0.23,-0.2,0.142,0.25,0.112,0.25,0.222,-0.25,0,-0.176,0.6,0,0.384,-0.066,0.222,0.466,-0.5,-0.076,0.334,0.25,0.25,0.076,-0.272,-0.124,0,0.124,0.166,0.23,0.2,-0.058,-0.066,0.066,0.25,-0.2,0.142,0,0.368,0,-0.124,0.25,0.556,-0.112,0.444,-0.2,0.286,0.142,-0.538,0.636,0.25,0.294,0.25,-0.818,-0.25
0.6,1,0.334,0.176,0.5,0.692,0.384,0.124,0.2,0.334,-0.066,0.23,0.294,0.334,0.834,0.538,0.6,0.25,0.23,0.2,0,-0.066,0.222,0.692,0.6,0.454,0.538,0.334,0.6,0.572,1,0.142,-0.272,-0.272,-0.412,0.2,-0.286,0.466,0.334,0.6,0.272,0.142,0.076,0.158,0.124,0.124,0.538,0.572,0,0.4,0.124,0,0.334,-0.176,-0.384,0.5,0.636,0.25,0.428,-0.124,-0.286,0.2,-0.5,-0.2,0,0.142
0.894,1,0.334,0.636,0.376,0.5,1,0.272,0.272,0.166,0.272,0.25,0.75,1,0.334,0.4,0.142,0.2,-0.25,-0.124,0.75,0.714,0.23,0.384,0.454,0.334,0.112,0.572,0.142,0.25,0.334,0.428,0.6,0.25,0.778,0.5,-0.2,0,0.142,0.294,0.09,0.8,0.4,0.666,0.5,0.412,0,-0.376,0.428,0.25,0,0.23,0.112,-0.142,0,-0.058,0.286,-0.572,0.6,0.334,0.142,0.272,0.09,0.2,0,-0.294
0.666,0.076,0.572,0.334,0.6,0.556,0.334,0.2,0.384,0.466,0.79,0.572,-0.09,0.376,0.53,0.556,0.2,0.052,0.334,0.376,-0.09,0,0.6,0.572,0.334,0.846,0.286,0.5,-0.09,0.25,0.076,0.636,-0.23,0.142,-0.124,0,0,0.176,0.538,0,0.334,0.412,-0.09,0,0.142,0.466,0.384,0.334,0.4,0.376,-0.09,0.636,0.142,0.25,1,-0.714,1,0.334,0,0.5,-0.112,0.142,-0.142,0.124,0.166,0.5
0.066,-0.166,0.5,1,0.572,0.466,0.692,0.058,0.818,-0.23,0.286,0.384,-0.25,0.334,-0.334,0,0.412,0.176,0,0,0.384,0,0.09,0,0.272,0.6,0,0.624,-0.272,-0.25,0.846,0.142,-0.334,0.076,0.066,-0.176,-0.334,0,0.778,0.2,0.412,0.428,0.166,0.142,0.384,0.112,-0.25,-0.25,0.286,0.636,0.2,-0.5,0.124,0.294,0.454,0.556,-0.066,-0.166,-0.124,0.6,0.066,0.778,0.734,0.692,0.124,0.6
,,0,0.25,0.8,0.142,0.376,0.412,0,0.834,0.334,0.5,0.166,0.714,,0.294,,0.124,0.636,-0.23,,-0.23,0.538,0,,0.142,-0.166,0.334,0,0,-0.09,0.09,-0.2,0.454,0.294,0.556,0,0.5,0.572,,-0.076,,,-0.334,0.454,0.444,0.572,0.692,,0.556,0.572,0.25,0.2,0.286,0.124,0.066,,0.076,0.058,0.572,0.764,0.166,,0.2,0,-0.112
0.6,0,-0.294,0.666,0.454,0.076,0.066,0,0.556,0.272,0.428,0.23,0.2,0.4,-0.272,,0.2,0.23,-0.076,0.166,0,0.5,0.466,0.286,0.5,,,0.556,0.4,0,-0.2,0.556,0.334,0.538,0.066,0.474,0.6,0.538,0.538,0.222,0.23,0.272,0.25,0.25,0.666,-0.166,0.112,0.888,0.166,0.2,,0.066,,0.25,-0.6,0.066,,-0.454,0,0.272,-0.09,0,0.428,0.058,0.466,-0.112
