Note 2,Note 3,Note 4,Note 5,Major and Minor triads,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Generic 2nds,Generic 3rds,Generic 4ths,Imperfections,Sameness Quotient,Coherence Quotient,Stackable with 3rds,Scalar Pentachord,Subset of Diatonic,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Total Parents,Consecutive semitones,Spread Unevenness,Polygon Area,Subset of MOLT,Unique Diads,Total Diads,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,Semitone Set Violations,# Segments,Motive Strength,Scale Degree Clarity,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Score
2,3,5,6,0,3,2,2,3,1,1,1,4,4,2,4,0.25,0.4,0,1,0,0,0,1,1,1,0.642857143,0.434819391,2,6,11,5,9,10,0.430984267,0.809768658,0.460666538,6,5,5,0.8,3,3,0.1889375
2,3,5,7,1,3,1,3,2,1,3,0,4,3,3,2,0.25,0.44,0,1,1,2,1,1,4,1,0.464285714,0.572651615,1,5,13,4,8,10,0.365520322,0.686513785,0.365520322,8,4,4,1,2,2,0.30683871
2,3,5,8,2,4,1,2,3,1,2,1,3,4,3,3,0.1,0.44,1,0,1,1,1,1,3,1,0.392857143,0.652229086,2,6,14,5,9,12,0.295958847,0.607448964,0.295958847,8,5,3,1,2,2,0.267714286
2,3,6,7,1,4,2,1,2,2,2,1,3,4,3,3,0.1,0.44,0,0,0,0,1,0,1,1,0.571428571,0.535719582,3,6,15,5,10,10,0.365589406,0.657551594,0.365589406,6,5,3,1,3,3,0.2274375
2,3,6,8,1,4,1,2,2,2,1,2,3,4,3,4,0.1,0.6,0,0,0,0,0,1,1,1,0.392857143,0.652229086,6,6,16,5,8,14,0.291786171,0.559780305,0.291786171,8,5,3,1,2,3,0.083151515
2,3,6,9,1,3,1,1,4,1,1,2,2,5,3,4,0.2,0.6,1,0,0,0,1,0,1,1,0.321428571,0.694874525,5,6,16,5,7,14,0.249042036,0.494450979,0.249042036,8,3,4,1,2,4,0.148222222
2,3,7,8,2,3,2,1,1,2,3,1,3,3,4,2,0.25,0.8,0,0,1,1,1,0,2,1,0.571428571,0.572651615,3,6,11,5,9,10,0.324063657,0.588072684,0.324063657,6,5,5,1,2,2,0.300647059
2,4,5,6,0,3,2,3,1,2,1,1,5,3,2,4,0.1,0.16,0,1,0,0,0,0,0,2,0.642857143,0.434819391,3,6,14,5,9,12,0.37201312,0.832616152,0.58177097,6,3,3,0.6,2,3,0.078909091
2,4,5,7,1,3,1,3,2,1,3,0,4,3,3,2,0.25,0.44,0,1,1,2,0,1,3,1,0.464285714,0.572651615,1,5,13,4,8,10,0.325275412,0.67991733,0.466625822,8,4,4,1,2,2,0.429642857
2,4,5,8,1,4,1,2,2,3,1,1,3,5,2,4,0.1,0.52,1,0,0,0,1,1,2,1,0.392857143,0.652229086,3,6,16,5,10,12,0.275768628,0.584354158,0.378518786,8,4,3,1,2,3,0.126842105
2,4,6,7,1,3,1,3,1,2,2,1,4,3,3,3,0.2,0.52,0,1,1,1,0,1,2,1,0.464285714,0.572651615,3,6,13,5,9,10,0.317764653,0.641842175,0.472943057,8,3,4,1,2,2,0.061823529
2,4,6,8,0,2,0,4,0,4,0,2,4,4,2,5,0.5,0.6,0,1,0,0,0,1,1,0,0.285714286,0.689161119,4,3,16,3,4,18,0.356291772,0.527572535,0.385460174,10,2,5,1,2,4,0.249714286
2,4,6,9,2,2,0,3,2,2,2,1,3,4,3,3,0.3,0.96,1,0,1,1,0,2,3,0,0.214285714,0.731806558,3,5,11,5,9,10,0.326869812,0.455369497,0.333966922,10,2,4,1,1,3,0.225612903
2,4,7,8,1,4,1,2,1,3,2,1,3,4,3,3,0.15,0.8,0,0,0,0,0,1,1,1,0.392857143,0.652229086,3,6,14,5,10,12,0.291856483,0.526420965,0.388621545,8,4,3,1,1,3,0.245485714
2,4,7,9,2,2,0,3,2,1,4,0,3,3,4,1,0.5,1,0,0,1,3,0,1,4,0,0.214285714,0.731806558,1,4,10,3,6,10,0.332886533,0.430865313,0.332886533,10,4,4,1,0,2,0.365454545
2,5,6,7,0,4,2,2,1,1,3,1,4,2,4,2,0.05,0.28,0,0,0,0,0,0,0,2,0.571428571,0.535719582,2,6,16,5,9,12,0.329100475,0.68716443,0.596279942,6,4,3,0.6,2,3,0.150965517
2,5,6,8,1,4,1,2,2,2,1,2,3,4,3,4,0.1,0.6,0,0,0,0,0,1,1,1,0.392857143,0.652229086,6,6,16,5,8,14,0.291530713,0.542571353,0.489537979,8,5,3,1,2,4,0.080628571
2,5,6,9,3,3,1,1,3,2,2,1,2,5,3,3,0.25,0.96,0,0,0,0,0,0,0,1,0.321428571,0.694874525,3,6,11,4,9,10,0.261818248,0.454446406,0.420388395,8,4,4,1,1,3,0.1085625
2,5,7,8,1,4,1,2,2,1,3,1,3,3,4,2,0.2,0.8,0,0,1,1,1,1,3,1,0.392857143,0.652229086,2,6,13,4,9,10,0.272206558,0.527472072,0.499390744,8,5,3,1,1,3,0.239
3,4,5,6,0,3,3,2,2,1,1,1,5,3,2,4,0.2,0.08,0,0,0,0,0,0,0,3,0.75,0.397887358,2,6,13,5,9,10,0.400106784,0.916768259,0.526086566,4,3,4,0.4,3,4,0.272764706
3,4,5,7,2,4,2,2,2,2,2,0,4,4,2,3,0.05,0.12,0,0,0,0,0,0,0,2,0.571428571,0.535719582,2,5,16,5,10,10,0.353006734,0.7470769,0.410650914,6,4,3,0.8,2,3,0.172516129
3,4,5,8,2,3,2,1,2,3,2,0,3,5,2,3,0.2,0.44,0,0,0,0,0,0,0,2,0.5,0.615297053,2,5,13,5,10,12,0.302555891,0.644054603,0.321754258,6,4,3,0.8,2,4,0.129875
3,4,6,7,2,4,2,1,3,2,1,1,3,5,2,4,0.1,0.28,0,0,0,0,1,0,1,1,0.571428571,0.535719582,3,6,14,5,9,12,0.357470477,0.680660174,0.416860417,6,5,3,0.8,3,3,0.215875
3,4,6,8,1,4,1,2,2,3,1,1,3,5,2,4,0.1,0.52,1,0,0,0,1,1,2,1,0.392857143,0.652229086,3,6,16,5,10,12,0.328587913,0.55893141,0.328587913,8,4,3,1,2,3,0.107
3,4,7,8,3,3,2,0,2,4,2,0,2,6,2,3,0.25,0.64,1,0,0,0,0,0,0,1,0.5,0.615297053,3,4,14,5,7,16,0.312491739,0.540787303,0.331458779,6,5,5,1,2,3,0.309
3,5,6,7,1,4,2,2,2,1,2,1,4,3,3,3,0.05,0.2,0,0,0,0,0,0,0,2,0.571428571,0.535719582,2,6,17,5,10,10,0.320247729,0.721740669,0.538348189,6,4,3,0.4,2,4,0.2023125
3,5,6,8,2,4,1,2,3,1,2,1,3,4,3,3,0.1,0.44,1,0,1,1,0,1,2,1,0.392857143,0.652229086,2,6,14,5,9,12,0.281556283,0.573104568,0.430662166,8,5,3,1,2,3,0.1569375
3,5,7,8,3,4,1,2,2,2,3,0,3,4,3,2,0.1,0.56,1,0,1,2,1,0,3,1,0.392857143,0.652229086,2,5,14,5,9,10,0.269489201,0.54313605,0.44015259,8,4,3,1,1,2,0.303823529
3,6,7,8,2,3,2,1,2,2,2,1,3,4,3,3,0.1,0.44,0,0,0,0,0,0,0,2,0.5,0.615297053,3,6,13,5,10,10,0.293817362,0.600034712,0.566301378,6,3,3,0.8,2,3,0.21537931
4,5,6,7,1,3,3,2,1,1,2,1,5,2,3,3,0.2,0.2,0,0,0,0,0,0,0,3,0.75,0.45614211,2,6,13,5,9,10,0.379778166,0.870559388,0.514354036,4,3,4,0.2,3,4,0.336444444
