0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.454,0.538,0.272,,0.428,,0.428,,,,,0.334,,0.066,0.294,0.076,,,0.376,-0.2,-0.294,0.334,,,,0,0.272,0.334,,0.23,,0.5,0.066,0.066,0.4,,0.142,0.066,0,0.09,-0.272,0,0.124,0.286,-0.384,,0.2,0.124,,,0.2,-0.474,,,,0.076,-0.6,-0.09,0,0.376,0.272,,,,0.334,-0.166
0.23,-0.2,0.334,,0.624,0,-0.066,0.636,,0.4,0.384,0.334,-0.384,0.142,,0.124,-0.23,-0.076,0.5,,-0.066,-0.076,0.272,,-0.428,-0.23,0.066,0.166,0.2,,0.166,,0.384,0.286,0.076,-0.23,0.166,0.376,,0.572,0.25,0.876,,,0.538,0.846,0,,,0.23,-0.076,-0.066,,0,0.334,-0.2,0,,0.076,0,-0.286,0.4,0.4,0.142,0.384,0.272
0.09,0.23,0.23,,-0.166,0.09,0.384,-0.09,,,,0,-0.09,-0.2,,0.538,0.666,0.066,,0.2,,0,0.4,-0.428,0.4,-0.09,0,,,-0.666,0.2,0.09,-0.23,0,-0.692,,-0.09,0.466,0.538,,0.142,-0.4,,,0.076,,-0.09,-0.2,0.23,0.09,-0.4,,0.428,,0.23,,0.23,-0.334,,,-0.23,,,,-0.6,0.09
0.286,,0.466,0.09,0.4,0.166,0.454,0.166,-0.142,0.818,,,,0.734,0.538,0.5,0.158,0.692,,0.142,,0.124,0.066,0.142,-0.176,0.5,0.142,0.166,,0.066,0.384,0.818,0.286,0.692,0.124,,,0.066,,0.112,,0.142,-0.23,0.5,0.666,0.334,0.166,0.112,-0.23,-0.23,,0,-0.334,-0.2,,,0,,-0.09,0.692,0.124,0.466,,0.142,0.142,0
,0.286,0.334,,,,,,-0.142,,0.466,0.334,,0.23,0.2,-0.166,0,,0.666,,,,,0.2,0.5,0,0.166,0.272,-0.4,,,,-0.166,,0.5,0.4,0.454,0.6,,-0.058,0.176,-0.334,0.066,0.444,0.4,,0.734,,,0.466,0.25,,0.23,,,,,,0.076,0.09,-0.124,-0.286,,0.4,0.428,
0.6,,0.2,0.272,,0.23,,0.076,-0.09,,,0,0.428,,0.2,0.23,,-0.166,0,,0.066,-0.272,0.058,-0.23,-0.2,-0.334,,,-0.376,0.23,-0.6,0.166,-0.334,,,0.166,0,0.2,0.5,0.066,0.25,-0.124,,0.066,0.142,-0.2,,,-0.2,,0,0.556,0.466,,-0.572,0.272,-0.6,0.4,-0.334,,-0.2,0.076,0.124,0.25,0.384,0.23
-0.2,0.624,0.4,0.666,-0.142,0,0,,0.6,0.066,0.124,0.142,0.124,0.076,0.166,0.376,0.334,-0.166,0.6,0.666,,,0,-0.166,0.23,0.412,,0.222,0.334,0.5,0.334,0.538,0.09,,,,-0.272,,0.09,0.6,0.124,-0.23,0.142,,0.866,0.428,0,0.2,,0.222,0.572,-0.25,-0.158,0.272,0,-0.2,0,-0.142,-0.334,,,,0,0,0,
,,-0.058,0.112,0.5,0,0,-0.058,,0.112,0.53,0,,0.066,0.334,0.466,,,-0.142,-0.2,,,0.066,0.2,0,0.5,0.466,,-0.272,0.142,0.572,0.066,0.272,0.166,0,0.076,0.2,0.4,0.286,-0.176,0,0.636,0.538,0,-0.09,-0.142,0,,0.076,-0.09,0.384,-0.23,-0.23,0,0.286,0.466,0.454,0.142,,0.124,-0.176,,0.076,-0.334,0.142,
,1,0.538,,0.23,0.2,0.25,0.142,0.376,0.286,0.4,0.334,,,,0,,0.058,0.176,,0.142,0.4,,,0.09,,,,0.09,0,-0.412,,0.334,0.6,0,0.454,,,-0.334,0.428,,0.286,0.058,-0.142,,,-0.25,-0.572,0.2,-0.142,0.428,,0.286,,,0.834,0.428,0.23,0.466,0.636,,,-0.09,0.076,,0.23
,0.556,-0.23,-0.076,-0.09,0.818,,,,-0.142,0.2,0.09,,-0.334,0.334,0,,0.076,,,0.466,0.334,,0.6,,0.384,,0.2,,0.2,,-0.076,,-0.076,,,-0.142,,-0.25,,0.334,0.5,,,0.294,,0.2,0.286,0.09,,,0.376,0.112,,,,,,0.142,0,0.076,,-0.076,-0.384,0,
,0.538,,0.858,,0.4,0.666,,0.25,0.2,0.5,0.23,,0.166,,0.2,-0.166,0.334,,0.23,0.066,-0.09,,0.5,0.466,0.818,,-0.076,,0.636,,0.334,,0.5,,0,,,0.166,-0.076,0.428,,0.334,0.428,,-0.166,,0.076,0.538,0.076,0.412,,0.454,,0.428,0.286,1,,0.142,,,-0.166,,,-0.166,0
0.818,0.834,0.882,,0,-0.2,0.6,0,,,,0.666,,0.09,0.636,,0.384,,0.636,0.666,0.334,0.636,0.23,0.334,0.09,-0.066,0.75,,,-0.166,0.666,0.166,0.09,,0.142,,0.272,,-0.4,0.6,,0.334,-0.466,0,0.376,0.176,0.272,0.23,,0.4,0.066,0.6,0.454,,0.09,-0.23,0.454,0,0.272,0.428,0.222,0.5,,-0.09,-0.124,0.076
0.076,,0.666,0.428,0.286,0.818,,,,,,0.5,,,,,0.636,,-0.286,,,,,,0.6,0.6,,-0.2,,,,,-0.112,-0.166,,-0.166,,,,-0.09,,0.538,0.6,,0.466,-0.124,,,0.142,0.112,0.2,-0.076,0.142,0.2,0.286,,,,,0,0.142,,,,,
0.5,0.142,,0.5,,0.466,,0.334,,,-0.09,,,0.334,0.376,0,0.142,0.572,0.166,-0.09,,,,0.23,,-0.142,,0.5,,,,-0.454,0.334,0.23,0.2,0.454,,,0.25,0.076,0,0,0.334,0.23,-0.334,-0.142,0.334,0.428,,,0.142,0.166,0.624,-0.454,,,,-0.142,0.066,,,-0.2,0.2,0.666,0.286,
,0.818,0.066,0.058,0.818,-0.142,0.09,,-0.176,0,0.25,0.076,0.09,,0.334,,0.466,0.052,0,-0.384,,-0.058,,0.412,,0.09,0.2,,0.636,0.2,,0.058,0.466,0,0.384,,0.2,,0.454,-0.2,,,-0.076,0.066,,0.286,,0.286,-0.076,,0.058,,-0.444,0.2,0.384,-0.158,,,0.23,0.112,-0.538,0,0,-0.412,0.25,-0.2
0.5,,0,0.5,,,,,,,,,,,,0.538,,,,,,,,0.572,,,,-0.142,,,0.176,,,,,0.2,,,,,,,,,,,,,,,-0.23,,-0.176,,-0.2,0.334,,,,,,0.834,0.666,,0.5,0.538
